district_code,district,tru,person_rural,persons_urban,males_rural,males_urban,females_rural,females_urban,six_persons_rural,six_persons_urban,six_males_rural,six_males_urban,six_females_rural,six_females_urban,gyani_persons_rural,gyani_persons_urban,gyani_males_rural,gyani_males_urban,gyani_females_rural,gyani_females_urban
1,Ganganagar,Urban,1433858,535662,758529,285201,675329,250461,190024,62352,102245,33866,87779,28486,830379,375941,503385,216614,326994,159327
2,Hanumangarh,Urban,1428884,350766,749080,184580,679804,166186,189832,43101,101250,23356,88582,19745,815163,242371,498991,138744,316172,103627
3,Bikaner,Urban,1564009,803736,822098,421818,741911,381918,288361,106035,151586,55778,136775,50257,752030,548776,480895,316224,271135,232552
4,Churu,Urban,1464691,576481,756279,297096,708412,279385,232109,81743,122330,43191,109779,38552,800983,364272,494890,214962,306093,149310
5,Jhunjhunun,Urban,1649538,490120,843536,253854,806002,236266,220488,64907,120786,35056,99702,29851,1056723,328823,633920,193546,422803,135277
6,Alwar,Urban,3017711,654288,1589143,349786,1428568,304502,496861,83527,266528,45291,230333,38236,1735107,480881,1103790,280609,631317,200272
7,Bharatpur,Urban,2054400,494721,1095085,262811,959315,231910,364409,66424,195159,36106,169250,30318,1163838,343436,762075,203462,401763,139974
8,Dhaulpur,Urban,959673,247620,521401,132943,438272,114677,178329,37238,96003,20273,82326,16965,540673,154924,351186,92865,189487,62059
9,Karauli,Urban,1239798,218661,668812,116131,570986,102530,206554,32895,112141,17731,94413,15164,683492,137337,459253,84226,224239,53111
10,Sawai Madhopur,Urban,1071780,266334,566817,139741,504963,126593,163634,35143,87693,18871,75941,16272,569264,184868,386274,110066,182990,74802
11,Dausa,Urban,1434533,202693,753670,106151,680863,96542,230508,26294,123850,14271,106658,12023,811899,142949,525642,84510,286257,58439
12,Jaipur,Urban,3164767,3499204,1648975,1841812,1515792,1657392,475330,438997,254904,237056,220426,201941,1840416,2554596,1165918,1451110,674498,1103486
13,Sikar,Urban,2044437,633300,1049331,327789,995106,305511,289314,86438,157605,46460,131709,39978,1260783,419130,770776,245833,490007,173297
14,Nagaur,Urban,2674804,634430,1371733,327027,1303071,307403,406926,91659,215734,48384,191192,43275,1409728,391374,899102,232825,510626,158549
15,Jodhpur,Urban,2421621,1264060,1260206,664120,1161415,599940,434608,158351,230125,83579,204483,74772,1187942,887087,786122,509778,401820,377309
16,Jaisalmer,Urban,582798,89210,313750,49596,269048,39614,117614,12786,62976,6833,54638,5953,254042,60303,176726,37814,77316,22489
17,Barmer,Urban,2422037,182416,1274070,96424,1147967,85992,473290,26038,249155,13770,224135,12268,1085931,124347,726366,74617,359565,49730
18,Jalor,Urban,1678248,151903,858833,79085,819415,72818,291642,22166,154238,11741,137404,10425,749421,93372,496854,57609,252567,35763
19,Sirohi,Urban,828375,208810,424973,110142,403402,98668,146394,25305,77238,13611,69156,11694,339394,145417,229024,86789,110370,58628
20,Pali,Urban,1578682,459851,787974,237921,790708,221930,232706,60296,122513,32143,110193,28153,796917,306787,499262,181700,297655,125087
21,Ajmer,Urban,1548574,1036339,790215,535696,758359,500643,249966,124779,131722,66265,118244,58514,782017,775247,513974,432674,268043,342573
22,Tonk,Urban,1103868,317843,569040,160350,534828,157493,159180,41783,84368,22431,74812,19352,556057,206428,371395,115895,184662,90533
23,Bundi,Urban,891623,222102,464347,115038,427276,107064,130544,27544,69210,14599,61334,12945,442391,153056,290308,88900,152083,64156
24,Bhilwara,Urban,1897292,513167,957879,266604,939413,246563,289960,66270,150924,34993,139036,31277,918878,369261,590075,211233,328803,158028
25,Rajsamand,Urban,973822,184461,487758,94912,486064,89549,151453,22491,80011,11966,71442,10525,495343,133964,313876,76316,181467,57648
26,Dungarpur,Urban,1300129,88777,652478,45591,647651,43186,229096,10512,119394,5683,109702,4829,631398,67143,390662,37113,240736,30030
27,Banswara,Urban,1670368,127826,843391,65364,826977,62462,305685,15603,158546,8377,147139,7226,747562,97160,472402,52815,275160,44345
28,Chittaurgarh,Urban,1259090,285302,637086,146968,622004,138334,174763,34613,91646,18401,83117,16212,624945,209572,405747,118227,219198,91345
29,Kota,Urban,774286,1176205,401931,621222,372355,554983,106629,141956,56138,75457,50491,66499,464286,854357,289724,491529,174562,362828
30,Baran,Urban,969490,254431,503368,132127,466122,122304,146402,33094,76806,17542,69596,15552,529159,174536,337884,101682,191275,72854
31,Jhalawar,Urban,1181889,229438,606823,118844,575066,110594,174047,30093,91191,15941,82856,14152,586941,163098,380164,92854,206777,70244
32,Udaipur,Urban,2458658,608891,1250880,315901,1207778,292990,433073,65999,224683,35265,208390,30734,1131317,480168,726927,265062,404390,215106
33,Pratapgarh,Urban,796503,71728,401391,36559,395112,35169,140183,8570,72675,4552,67508,4018,351124,53976,223191,29799,127933,24177
