tourist_place,lat,long,2014_local,2014_videshi,2015_local,2015_videshi,2016_local,2016_videshi,2017_local,2017_videshi
Mount Abu,24.5925909,72.7156274,2376831,4376,2017636,1598,1983435,1672,2682871,2579
Udaipur,24.585445,73.712479,720120,166936,727266,165525,756440,183964,830784,190521
Jaipur,26.9124336,75.7872709,1170152,568234,1201152,596756,1544730,565978,1702665,633990
Pushkar,26.489749,74.5510856,3234750,70603,3786360,69494,3961130,97651,4636005,101673
Jodhpur,26.2389469,73.0243094,520198,139640,598967,126772,972337,138558,894085,144363
Ajmer,26.4498954,74.6399163,4245710,33069,4546300,36423,4896070,41112,4651920,59405
Jaisalmer,26.9157487,70.9083443,250716,91759,266175,84533,359497,90937,493755,122851
Nathdwara,24.9291411,73.8213213,702801,21,637722,10,678006,,713431,
Chittorgarh,24.8887435,74.6269216,612587,48374,640688,38879,791840,52340,449091,3417
Bharatpur,27.216981,77.489515,69225,40386,66322,39608,72701,26368,111796,18398
Bikaner,28.0229348,73.3119159,347294,67098,348772,60767,325244,60300,356094,61930
Ranakpur,25.1160407,73.472527,555951,122403,532039,102994,525455,114806,494174,105272
Kota,25.2138156,75.8647527,51467,3516,90598,2574,89546,1778,202298,1860
Sawai Madhopur,26.0377772,76.3521514,77800,61495,85200,67935,106000,51265,139428,55190
Jhunjhunu,28.1288747,75.3995089,126184,46828,86555,37420,127687,24477,174883,35999
Banswada,18.3818488,77.8758114,114040,141,113410,82,121487,139,129925,117
Alwar,27.5529907,76.6345735,104418,18650,95787,10634,119815,8524,147653,12296
Sariska,27.3284906,76.4331698,13087,237,14487,150,10932,198,10069,639
Rishabhdev,24.0781195,73.6918806,12489,0,25800,0,26022,0,30419,0
Bundi,25.4305144,75.6499025,49925,15063,54574,15290,59864,15420,65021,16442
Sikar,27.6094,75.139911,116905,0,48305,16,102282,826,152416,1941
Siliserh,27.5255556,76.5311111,1910,0,2071,0,1752,0,1862,2
Behror,27.8799938,76.2799983,4402,2,3650,31,2533,8,1802,0
Jhalawar,24.5973494,76.1609838,93344,108,92426,114,88440,130,103102,166
